api,http-method,description,functionName,functionParameters
/repositories/{username}/{repo_slug}/commit/{node}/statuses/build/{key},PUT,Used to update the current status of a build status object on the specific commit.  This operation can also be used to change other properties of the build status:  * &#x60;state&#x60; * &#x60;name&#x60; * &#x60;description&#x60; * &#x60;url&#x60; * &#x60;refname&#x60;  The &#x60;key&#x60; cannot be changed.,repositoriesUsernameRepoSlugCommitNodeStatusesBuildKeyPut,username repoSlug node key opts
/repositories/{username}/{repo_slug}/commit/{node}/statuses/build,POST,Creates a new build status against the specified commit.  If the specified key already exists, the existing status object will be overwritten.  When creating a new commit status, you can use a URI template for the URL. Templates are URLs that contain variable names that Bitbucket will evaluate at runtime whenever the URL is displayed anywhere similar to parameter substitution in [Bitbucket Connect](https://developer.atlassian.com/bitbucket/concepts/context-parameters.html). For example, one could use &#x60;https://foo.com/builds/{repository.full_name}&#x60; which Bitbucket will turn into &#x60;https://foo.com/builds/foo/bar&#x60; at render time. The context variables available are &#x60;repository&#x60; and &#x60;commit&#x60;.,repositoriesUsernameRepoSlugCommitNodeStatusesBuildPost,username repoSlug node
/repositories/{username}/{repo_slug}/commit/{node}/statuses,GET,Returns all statuses (e.g. build results) for a specific commit.,repositoriesUsernameRepoSlugCommitNodeStatusesGet,username repoSlug node
/repositories/{username}/{repo_slug},DELETE,Deletes the repository. This is an irreversible operation.  This does not affect its forks.,repositoriesUsernameRepoSlugDelete,username repoSlug
/repositories/{username}/{repo_slug}/forks,GET,Returns a paginated list of all the forks of the specified repository.,repositoriesUsernameRepoSlugForksGet,username repoSlug
/repositories/{username}/{repo_slug},GET,Returns the object describing this repository.,repositoriesUsernameRepoSlugGet,username repoSlug
/repositories/{username}/{repo_slug}/hooks,GET,Returns a paginated list of webhooks installed on this repository.,repositoriesUsernameRepoSlugHooksGet,username repoSlug
/repositories/{username}/{repo_slug}/hooks,POST,Creates a new webhook on the specified repository.  Example:  &#x60;&#x60;&#x60; $ curl -X POST -u credentials -H &#39;Content-Type: application/json&#39;           https://api.bitbucket.org/2.0/repositories/username/slug/hooks           -d &#39;     {       \&quot;description\&quot;: \&quot;Webhook Description\&quot;,       \&quot;url\&quot;: \&quot;https://example.com/\&quot;,       \&quot;active\&quot;: true,       \&quot;events\&quot;: [         \&quot;repo:push\&quot;,         \&quot;issue:created\&quot;,         \&quot;issue:updated\&quot;       ]     }&#39; &#x60;&#x60;&#x60;  Note that this call requires the webhook scope, as well as any scope that applies to the events that the webhook subscribes to. In the example above that means: &#x60;webhook&#x60;, &#x60;repository&#x60; and &#x60;issue&#x60;.  Also note that the &#x60;url&#x60; must properly resolve and cannot be an internal, non-routed address.,repositoriesUsernameRepoSlugHooksPost,username repoSlug
/repositories/{username}/{repo_slug}/hooks/{uid},DELETE,Deletes the specified webhook subscription from the given repository.,repositoriesUsernameRepoSlugHooksUidDelete,username repoSlug uid
/repositories/{username}/{repo_slug}/hooks/{uid},GET,Returns the webhook with the specified id installed on the specified repository.,repositoriesUsernameRepoSlugHooksUidGet,username repoSlug uid
/repositories/{username}/{repo_slug}/hooks/{uid},PUT,Updates the specified webhook subscription.  The following properties can be mutated:  * &#x60;description&#x60; * &#x60;url&#x60; * &#x60;active&#x60; * &#x60;events&#x60;,repositoriesUsernameRepoSlugHooksUidPut,username repoSlug uid
/repositories/{username}/{repo_slug},POST,Creates a new repository.  Note: In order to set the project for the newly created repository, pass in either the project key or the project UUID as part of the request body as shown in the examples below:  &#x60;&#x60;&#x60; $ curl -X POST -H \&quot;Content-Type: application/json\&quot; -d &#39;{     \&quot;scm\&quot;: \&quot;git\&quot;,     \&quot;project\&quot;: {         \&quot;key\&quot;: \&quot;MARS\&quot;     } }&#39; https://api.bitbucket.org/2.0/repositories/teamsinspace/hablanding &#x60;&#x60;&#x60;  or  &#x60;&#x60;&#x60; $ curl -X POST -H \&quot;Content-Type: application/json\&quot; -d &#39;{     \&quot;scm\&quot;: \&quot;git\&quot;,     \&quot;project\&quot;: {         \&quot;key\&quot;: \&quot;{ba516952-992a-4c2d-acbd-17d502922f96}\&quot;     } }&#39; https://api.bitbucket.org/2.0/repositories/teamsinspace/hablanding &#x60;&#x60;&#x60;  The project must only be assigned for repositories belonging to a team. If the repository owner is a team and the project is not provided, the repository is automatically assigned to the oldest project in the team.  Note: In the examples above, the username &#x60;teamsinspace&#x60;, and/or the repository name &#x60;hablanding&#x60; can be replaced by UUIDs.,repositoriesUsernameRepoSlugPost,username repoSlug opts
/repositories/{username}/{repo_slug}/pullrequests/{pull_request_id}/statuses,GET,Returns all statuses (e.g. build results) for the given pull request.,repositoriesUsernameRepoSlugPullrequestsPullRequestIdStatusesGet,username repoSlug pullRequestId
/repositories/{username}/{repo_slug},PUT,Since this endpoint can be used to both update and to create a repository, the request body depends on the intent.  ### Creation  See the POST documentation for the repository endpoint for an example of the request body.  ### Update  Note: Changing the &#x60;name&#x60; of the repository will cause the location to be changed. This is because the URL of the repo is derived from the name (a process called slugification). In such a scenario, it is possible for the request to fail if the newly created slug conflicts with an existing repository&#39;s slug. But if there is no conflict, the new location will be returned in the &#x60;Location&#x60; header of the response.,repositoriesUsernameRepoSlugPut,username repoSlug opts
/repositories/{username}/{repo_slug}/src/{node}/{path},GET,,repositoriesUsernameRepoSlugSrcNodePathGet,username node path repoSlug opts
/repositories/{username}/{repo_slug}/watchers,GET,Returns a paginated list of all the watchers on the specified repository.,repositoriesUsernameRepoSlugWatchersGet,username repoSlug
/addon,DELETE,,addonDelete,
/addon/linkers,GET,,addonLinkersGet,
/addon/linkers/{linker_key},GET,,addonLinkersLinkerKeyGet,linkerKey
/addon/linkers/{linker_key}/values,DELETE,,addonLinkersLinkerKeyValuesDelete,linkerKey
/addon/linkers/{linker_key}/values/,DELETE,,addonLinkersLinkerKeyValuesDelete_0,linkerKey
/addon/linkers/{linker_key}/values,GET,,addonLinkersLinkerKeyValuesGet,linkerKey
/addon/linkers/{linker_key}/values/,GET,,addonLinkersLinkerKeyValuesGet_0,linkerKey
/addon/linkers/{linker_key}/values,POST,,addonLinkersLinkerKeyValuesPost,linkerKey
/addon/linkers/{linker_key}/values,PUT,,addonLinkersLinkerKeyValuesPut,linkerKey
/addon,PUT,,addonPut,
/repositories/{username}/{repo_slug}/pipelines/,POST,Endpoint to create and initiate a pipeline.  There are a couple of different options to initiate a pipeline, where the payload of the request will determine which type of pipeline will be instantiated. # Trigger a Pipeline for a branch or tag One way to trigger pipelines is by specifying the reference for which you want to trigger a pipeline (e.g. a branch or tag).  The specified reference will be used to determine which pipeline definition from the &#x60;bitbucket-pipelines.yml&#x60; file will be applied to initiate the pipeline. The pipeline will then do a clone of the repository and checkout the latest revision of the specified reference.  ### Example  &#x60;&#x60;&#x60; $ curl -X POST -is -u username:password \\   -H &#39;Content-Type: application/json&#39; \\  https://api.bitbucket.org/2.0/repositories/jeroendr/meat-demo2/pipelines/ \\   -d &#39;   {     \&quot;target\&quot;: {       \&quot;ref_type\&quot;: \&quot;branch\&quot;,        \&quot;type\&quot;: \&quot;pipeline_ref_target\&quot;,        \&quot;ref_name\&quot;: \&quot;master\&quot;     }   }&#39; &#x60;&#x60;&#x60; # Trigger a Pipeline for a commit on a branch or tag You can initiate a pipeline for a specific commit and in the context of a specified reference (e.g. a branch, tag or bookmark). The specified reference will be used to determine which pipeline definition from the bitbucket-pipelines.yml file will be applied to initiate the pipeline. The pipeline will clone the repository and then do a checkout the specified reference.   The following reference types are supported:  * &#x60;branch&#x60;  * &#x60;named_branch&#x60; * &#x60;bookmark&#x60;   * &#x60;tag&#x60;  ### Example  &#x60;&#x60;&#x60; $ curl -X POST -is -u username:password \\   -H &#39;Content-Type: application/json&#39; \\   https://api.bitbucket.org/2.0/repositories/jeroendr/meat-demo2/pipelines/ \\   -d &#39;   {     \&quot;target\&quot;: {       \&quot;commit\&quot;: {         \&quot;type\&quot;: \&quot;commit\&quot;,          \&quot;hash\&quot;: \&quot;ce5b7431602f7cbba007062eeb55225c6e18e956\&quot;       },        \&quot;ref_type\&quot;: \&quot;branch\&quot;,        \&quot;type\&quot;: \&quot;pipeline_ref_target\&quot;,        \&quot;ref_name\&quot;: \&quot;master\&quot;     }   }&#39; &#x60;&#x60;&#x60; # Trigger a specific pipeline definition for a commit You can trigger a specific pipeline that is defined in your &#x60;bitbucket-pipelines.yml&#x60; file for a specific commit.  In addition to the commit revision, you specify the type and pattern of the selector that identifies the pipeline definition. The resulting pipeline will then clone the repository and checkout the specified revision.  ### Example  &#x60;&#x60;&#x60; $ curl -X POST -is -u username:password \\   -H &#39;Content-Type: application/json&#39; \\  https://api.bitbucket.org/2.0/repositories/jeroendr/meat-demo2/pipelines/ \\  -d &#39;   {      \&quot;target\&quot;: {       \&quot;commit\&quot;: {          \&quot;hash\&quot;:\&quot;a3c4e02c9a3755eccdc3764e6ea13facdf30f923\&quot;,          \&quot;type\&quot;:\&quot;commit\&quot;        },         \&quot;selector\&quot;: {            \&quot;type\&quot;:\&quot;custom\&quot;,               \&quot;pattern\&quot;:\&quot;Deploy to production\&quot;           },         \&quot;type\&quot;:\&quot;pipeline_commit_target\&quot;    }   }&#39; &#x60;&#x60;&#x60; # Trigger a specific pipeline definition for a commit on a branch or tag You can trigger a specific pipeline that is defined in your &#x60;bitbucket-pipelines.yml&#x60; file for a specific commit in the context of a specified reference.  In addition to the commit revision, you specify the type and pattern of the selector that identifies the pipeline definition, as well as the reference information. The resulting pipeline will then clone the repository a checkout the specified reference.  ### Example  &#x60;&#x60;&#x60; $ curl -X POST -is -u username:password \\   -H &#39;Content-Type: application/json&#39; \\  https://api.bitbucket.org/2.0/repositories/jeroendr/meat-demo2/pipelines/ \\  -d &#39;   {      \&quot;target\&quot;: {       \&quot;commit\&quot;: {          \&quot;hash\&quot;:\&quot;a3c4e02c9a3755eccdc3764e6ea13facdf30f923\&quot;,          \&quot;type\&quot;:\&quot;commit\&quot;        },        \&quot;selector\&quot;: {           \&quot;type\&quot;: \&quot;custom\&quot;,           \&quot;pattern\&quot;: \&quot;Deploy to production\&quot;        },        \&quot;type\&quot;: \&quot;pipeline_ref_target\&quot;,        \&quot;ref_name\&quot;: \&quot;master\&quot;,        \&quot;ref_type\&quot;: \&quot;branch\&quot;      }   }&#39; &#x60;&#x60;&#x60; ,createPipelineForRepository,username repoSlug body
/teams/{username}/pipelines_config/variables/,POST,Create an account level variable.,createPipelineVariableForTeam,username opts
/users/{username}/pipelines_config/variables/,POST,Create a user level variable.,createPipelineVariableForUser,username opts
/repositories/{username}/{repo_slug}/pipelines_config/ssh/known_hosts/,POST,Create a repository level known host.,createRepositoryPipelineKnownHost,username repoSlug body
/repositories/{username}/{repo_slug}/pipelines_config/variables/,POST,Create a repository level variable.,createRepositoryPipelineVariable,username repoSlug body
/teams/{username}/pipelines_config/variables/{variable_uuid},DELETE,Delete a team level variable.,deletePipelineVariableForTeam,username variableUuid
/users/{username}/pipelines_config/variables/{variable_uuid},DELETE,Delete an account level variable.,deletePipelineVariableForUser,username variableUuid
/repositories/{username}/{repo_slug}/pipelines_config/ssh/key_pair,DELETE,Delete the repository SSH key pair.,deleteRepositoryPipelineKeyPair,username repoSlug
/repositories/{username}/{repo_slug}/pipelines_config/ssh/known_hosts/{known_host_uuid},DELETE,Delete a repository level known host.,deleteRepositoryPipelineKnownHost,username repoSlug knownHostUuid
/repositories/{username}/{repo_slug}/pipelines_config/variables/{variable_uuid},DELETE,Delete a repository level variable.,deleteRepositoryPipelineVariable,username repoSlug variableUuid
/repositories/{username}/{repo_slug}/pipelines/{pipeline_uuid},GET,Retrieve a specified pipeline,getPipelineForRepository,username repoSlug pipelineUuid
/repositories/{username}/{repo_slug}/pipelines/{pipeline_uuid}/steps/{step_uuid},GET,Retrieve a given step of a pipeline.,getPipelineStepForRepository,username repoSlug pipelineUuid stepUuid
/repositories/{username}/{repo_slug}/pipelines/{pipeline_uuid}/steps/{step_uuid}/log,GET,Retrieve the log file for a given step of a pipeline.  This endpoint supports (and encourages!) the use of [HTTP Range requests](https://tools.ietf.org/html/rfc7233) to deal with potentially very large log files.,getPipelineStepLogForRepository,username repoSlug pipelineUuid stepUuid
/repositories/{username}/{repo_slug}/pipelines/{pipeline_uuid}/steps/,GET,Find steps for the given pipeline.,getPipelineStepsForRepository,username repoSlug pipelineUuid
/teams/{username}/pipelines_config/variables/{variable_uuid},GET,Retrieve a team level variable.,getPipelineVariableForTeam,username variableUuid
/users/{username}/pipelines_config/variables/{variable_uuid},GET,Retrieve a user level variable.,getPipelineVariableForUser,username variableUuid
/teams/{username}/pipelines_config/variables/,GET,Find account level variables.,getPipelineVariablesForTeam,username
/users/{username}/pipelines_config/variables/,GET,Find user level variables.,getPipelineVariablesForUser,username
/repositories/{username}/{repo_slug}/pipelines/,GET,Find pipelines,getPipelinesForRepository,username repoSlug
/repositories/{username}/{repo_slug}/pipelines_config,GET,Retrieve the repository pipelines configuration.,getRepositoryPipelineConfig,username repoSlug
/repositories/{username}/{repo_slug}/pipelines_config/ssh/known_hosts/{known_host_uuid},GET,Retrieve a repository level known host.,getRepositoryPipelineKnownHost,username repoSlug knownHostUuid
/repositories/{username}/{repo_slug}/pipelines_config/ssh/known_hosts/,GET,Find repository level known hosts.,getRepositoryPipelineKnownHosts,username repoSlug
/repositories/{username}/{repo_slug}/pipelines_config/ssh/key_pair,GET,Retrieve the repository SSH key pair excluding the SSH private key. The private key is a write only field and will never be exposed in the logs or the REST API.,getRepositoryPipelineSshKeyPair,username repoSlug
/repositories/{username}/{repo_slug}/pipelines_config/variables/{variable_uuid},GET,Retrieve a repository level variable.,getRepositoryPipelineVariable,username repoSlug variableUuid
/repositories/{username}/{repo_slug}/pipelines_config/variables/,GET,Find repository level variables.,getRepositoryPipelineVariables,username repoSlug
/repositories/{username}/{repo_slug}/pipelines/{pipeline_uuid}/stopPipeline,POST,Signal the stop of a pipeline and all of its steps that not have completed yet.,stopPipeline,username repoSlug pipelineUuid
/teams/{username}/pipelines_config/variables/{variable_uuid},PUT,Update a team level variable.,updatePipelineVariableForTeam,username variableUuid body
/users/{username}/pipelines_config/variables/{variable_uuid},PUT,Update a user level variable.,updatePipelineVariableForUser,username variableUuid body
/repositories/{username}/{repo_slug}/pipelines_config,PUT,Update the pipelines configuration for a repository.,updateRepositoryPipelineConfig,username repoSlug body
/repositories/{username}/{repo_slug}/pipelines_config/ssh/key_pair,PUT,Create or update the repository SSH key pair. The private key will be set as a default SSH identity in your build container.,updateRepositoryPipelineKeyPair,username repoSlug body
/repositories/{username}/{repo_slug}/pipelines_config/ssh/known_hosts/{known_host_uuid},PUT,Update a repository level known host.,updateRepositoryPipelineKnownHost,username repoSlug knownHostUuid body
/repositories/{username}/{repo_slug}/pipelines_config/variables/{variable_uuid},PUT,Update a repository level variable.,updateRepositoryPipelineVariable,username repoSlug variableUuid body
/repositories/{username}/{repo_slug}/components/{component_id},GET,Returns the specified issue tracker component object.,repositoriesUsernameRepoSlugComponentsComponentIdGet,username repoSlug componentId
/repositories/{username}/{repo_slug}/components,GET,Returns the components that have been defined in the issue tracker.  This resource is only available on repositories that have the issue tracker enabled.,repositoriesUsernameRepoSlugComponentsGet,username repoSlug
/repositories/{username}/{repo_slug}/issues,GET,Returns the issues in the issue tracker.,repositoriesUsernameRepoSlugIssuesGet,username repoSlug
/repositories/{username}/{repo_slug}/issues/{issue_id}/attachments,GET,Returns all attachments for this issue.  This returns the files&#39; meta data. This does not return the files&#39; actual contents.  The files are always ordered by their upload date.,repositoriesUsernameRepoSlugIssuesIssueIdAttachmentsGet,username repoSlug issueId
/repositories/{username}/{repo_slug}/issues/{issue_id}/attachments/{path},DELETE,Deletes an attachment.,repositoriesUsernameRepoSlugIssuesIssueIdAttachmentsPathDelete,username path issueId repoSlug
/repositories/{username}/{repo_slug}/issues/{issue_id}/attachments/{path},GET,Returns the contents of the specified file attachment.  Note that this endpoint does not return a JSON response, but instead returns a redirect pointing to the actual file that in turn will return the raw contents.  The redirect URL contains a one-time token that has a limited lifetime. As a result, the link should not be persisted, stored, or shared.,repositoriesUsernameRepoSlugIssuesIssueIdAttachmentsPathGet,username path issueId repoSlug
/repositories/{username}/{repo_slug}/issues/{issue_id}/attachments,POST,Upload new issue attachments.  To upload files, perform a &#x60;multipart/form-data&#x60; POST containing one or more file fields.  When a file is uploaded with the same name as an existing attachment, then the existing file will be replaced.,repositoriesUsernameRepoSlugIssuesIssueIdAttachmentsPost,username repoSlug issueId
/repositories/{username}/{repo_slug}/issues/{issue_id}/comments/{comment_id},GET,Returns the specified issue comment object.,repositoriesUsernameRepoSlugIssuesIssueIdCommentsCommentIdGet,username commentId issueId repoSlug
/repositories/{username}/{repo_slug}/issues/{issue_id}/comments,GET,Returns all comments that were made on the specified issue.  The default sorting is oldest to newest and can be overridden with the &#x60;sort&#x60; query parameter.,repositoriesUsernameRepoSlugIssuesIssueIdCommentsGet,username issueId repoSlug
/repositories/{username}/{repo_slug}/issues/{issue_id},DELETE,Deletes the specified issue. This requires write access to the repository.,repositoriesUsernameRepoSlugIssuesIssueIdDelete,username issueId repoSlug
/repositories/{username}/{repo_slug}/issues/{issue_id},GET,Returns the specified issue.,repositoriesUsernameRepoSlugIssuesIssueIdGet,username issueId repoSlug
/repositories/{username}/{repo_slug}/issues/{issue_id}/vote,DELETE,Retract your vote.,repositoriesUsernameRepoSlugIssuesIssueIdVoteDelete,username repoSlug issueId
/repositories/{username}/{repo_slug}/issues/{issue_id}/vote,GET,Check whether the authenticated user has voted for this issue. A 204 status code indicates that the user has voted, while a 404 implies they haven&#39;t.,repositoriesUsernameRepoSlugIssuesIssueIdVoteGet,username repoSlug issueId
/repositories/{username}/{repo_slug}/issues/{issue_id}/vote,PUT,Vote for this issue.  To cast your vote, do an empty PUT. The 204 status code indicates that the operation was successful.,repositoriesUsernameRepoSlugIssuesIssueIdVotePut,username repoSlug issueId
/repositories/{username}/{repo_slug}/issues/{issue_id}/watch,DELETE,Stop watching this issue.,repositoriesUsernameRepoSlugIssuesIssueIdWatchDelete,username repoSlug issueId
/repositories/{username}/{repo_slug}/issues/{issue_id}/watch,GET,Indicated whether or not the authenticated user is watching this issue.,repositoriesUsernameRepoSlugIssuesIssueIdWatchGet,username repoSlug issueId
/repositories/{username}/{repo_slug}/issues/{issue_id}/watch,PUT,Start watching this issue.  To start watching this issue, do an empty PUT. The 204 status code indicates that the operation was successful.,repositoriesUsernameRepoSlugIssuesIssueIdWatchPut,username repoSlug issueId
/repositories/{username}/{repo_slug}/issues,POST,Creates a new issue.  This call requires authentication. Private repositories or private issue trackers require the caller to authenticate with an account that has appropriate authorisation.  The authenticated user is used for the issue&#39;s &#x60;reporter&#x60; field.,repositoriesUsernameRepoSlugIssuesPost,username repoSlug body
/repositories/{username}/{repo_slug}/milestones,GET,Returns the milestones that have been defined in the issue tracker.  This resource is only available on repositories that have the issue tracker enabled.,repositoriesUsernameRepoSlugMilestonesGet,username repoSlug
/repositories/{username}/{repo_slug}/milestones/{milestone_id},GET,Returns the specified issue tracker milestone object.,repositoriesUsernameRepoSlugMilestonesMilestoneIdGet,username repoSlug milestoneId
/repositories/{username}/{repo_slug}/versions,GET,Returns the versions that have been defined in the issue tracker.  This resource is only available on repositories that have the issue tracker enabled.,repositoriesUsernameRepoSlugVersionsGet,username repoSlug
/repositories/{username}/{repo_slug}/versions/{version_id},GET,Returns the specified issue tracker version object.,repositoriesUsernameRepoSlugVersionsVersionIdGet,username repoSlug versionId
/repositories/{username}/{repo_slug}/branch-restrictions,GET,Returns a paginated list of all branch restrictions on the repository.,repositoriesUsernameRepoSlugBranchRestrictionsGet,username repoSlug
/repositories/{username}/{repo_slug}/branch-restrictions/{id},DELETE,Deletes an existing branch restriction rule.,repositoriesUsernameRepoSlugBranchRestrictionsIdDelete,username repoSlug id
/repositories/{username}/{repo_slug}/branch-restrictions/{id},GET,Returns a specific branch restriction rule.,repositoriesUsernameRepoSlugBranchRestrictionsIdGet,username repoSlug id
/repositories/{username}/{repo_slug}/branch-restrictions/{id},PUT,Updates an existing branch restriction rule.  Fields not present in the request body are ignored.  See [&#x60;POST&#x60;](../../branch-restrictions#post) for details.,repositoriesUsernameRepoSlugBranchRestrictionsIdPut,username repoSlug id body
/repositories/{username}/{repo_slug}/branch-restrictions,POST,Creates a new branch restriction rule for a repository.  &#x60;kind&#x60; describes what will be restricted. Allowed values are: &#x60;push&#x60;, &#x60;force&#x60;, &#x60;delete&#x60;, and &#x60;restrict_merges&#x60;.  Different kinds of branch restrictions have different requirements:  * &#x60;push&#x60; and &#x60;restrict_merges&#x60; require &#x60;users&#x60; and &#x60;groups&#x60; to be   specified. Empty lists are allowed, in which case permission is   denied for everybody. * &#x60;force&#x60; can not be specified in a Mercurial repository.  &#x60;pattern&#x60; is used to determine which branches will be restricted.  A &#x60;&#39;*&#39;&#x60; in &#x60;pattern&#x60; will expand to match zero or more characters, and every other character matches itself. For example, &#x60;&#39;foo*&#39;&#x60; will match &#x60;&#39;foo&#39;&#x60; and &#x60;&#39;foobar&#39;&#x60;, but not &#x60;&#39;barfoo&#39;&#x60;. &#x60;&#39;*&#39;&#x60; will match all branches.  &#x60;users&#x60; and &#x60;groups&#x60; are lists of user names and group names.  &#x60;kind&#x60; and &#x60;pattern&#x60; must be unique within a repository; adding new users or groups to an existing restriction should be done via &#x60;PUT&#x60;.  Note that branch restrictions with overlapping patterns are allowed, but the resulting behavior may be surprising.,repositoriesUsernameRepoSlugBranchRestrictionsPost,username repoSlug body
/teams,GET,Returns all the teams that the authenticated user is associated with.,teamsGet,opts
/teams/{username}/followers,GET,Returns the list of accounts that are following this team.,teamsUsernameFollowersGet,username
/teams/{username}/following,GET,Returns the list of accounts this team is following.,teamsUsernameFollowingGet,username
/teams/{username},GET,Gets the public information associated with a team.  If the team&#39;s profile is private, &#x60;location&#x60;, &#x60;website&#x60; and &#x60;created_on&#x60; elements are omitted.,teamsUsernameGet,username
/teams/{username}/hooks,GET,Returns a paginated list of webhooks installed on this team.,teamsUsernameHooksGet,username
/teams/{username}/hooks,POST,Creates a new webhook on the specified team.  Team webhooks are fired for events from all repositories belonging to that team account.  Note that only admins can install webhooks on teams.,teamsUsernameHooksPost,username
/teams/{username}/hooks/{uid},DELETE,Deletes the specified webhook subscription from the given team account.,teamsUsernameHooksUidDelete,username uid
/teams/{username}/hooks/{uid},GET,Returns the webhook with the specified id installed on the given team account.,teamsUsernameHooksUidGet,username uid
/teams/{username}/hooks/{uid},PUT,Updates the specified webhook subscription.  The following properties can be mutated:  * &#x60;description&#x60; * &#x60;url&#x60; * &#x60;active&#x60; * &#x60;events&#x60;,teamsUsernameHooksUidPut,username uid
/teams/{username}/members,GET,All members of a team.  Returns all members of the specified team. Any member of any of the team&#39;s groups is considered a member of the team. This includes users in groups that may not actually have access to any of the team&#39;s repositories.  Note that members using the \&quot;private profile\&quot; feature are not included.,teamsUsernameMembersGet,username
/teams/{username}/repositories,GET,All repositories owned by a user/team. This includes private repositories, but filtered down to the ones that the calling user has access to.,teamsUsernameRepositoriesGet,username
/users/{username}/repositories,GET,All repositories owned by a user/team. This includes private repositories, but filtered down to the ones that the calling user has access to.,usersUsernameRepositoriesGet,username
