api,http-method,description,functionName,functionParameters
/filter/favourite,GET,"


Returns the favorite filters of the calling user. Permissions required: Permission to log in to Jira (i.e., member of the users group).

",filterFavouriteGet,opts
/filter,GET,"


Returns all filters. Deprecated, use Search for filters that supports search and pagination. Permissions required: None, however only the following filters are returned:

",filterGet,opts
/filter/{id}/columns,DELETE,"


Reset the user&#39;s column configuration for the filter to the default. Permissions required: Permission to log in to Jira (i.e., member of the users group) and permission to view the filter.

",filterIdColumnsDelete,id
/filter/{id}/columns,GET,"


Returns the columns configured for a filter. The column configuration is used when the filter&#39;s results are viewed in List View with the Columns set to Filter. Permissions required: None, however the calling user must have permission to view the filter.

",filterIdColumnsGet,id
/filter/{id}/columns,PUT,"


Sets the columns for a filter. Only navigable fields can be set as columns. Use Get fields to get the list fields in Jira. A navigable field has navigable set to true. Permissions required: Permission to log in to Jira (i.e., member of the users group) and permission to view the filter.

",filterIdColumnsPut,id
/filter/{id},DELETE,"


Delete a filter. Permissions required: Permission to log in to Jira, however the following rules govern what a user can delete:

",filterIdDelete,id
/filter/{id}/favourite,DELETE,"


Removes a filter as a favorite for the calling user. Permissions required: Permission to log in to Jira (i.e., member of the users group) and permission to view the filter.

",filterIdFavouriteDelete,id opts
/filter/{id}/favourite,PUT,"


Add a filter as a favorite for the calling user. Permissions required: Permission to log in to Jira (i.e., member of the users group) and permission to view the filter.

",filterIdFavouritePut,id opts
/filter/{id},GET,"


Returns a filter. Permissions required: None, however the calling user must have permission view the filter.

",filterIdGet,id opts
/filter/{id}/permission,GET,"


Returns the share permissions for a filter. A filter can be shared with groups, projects, all logged-in users, or the public. Sharing with all logged-in users or the public is known as a global share permission. Permissions required: None, however the calling user must have permission to view the filter.

",filterIdPermissionGet,id
/filter/{id}/permission/{permissionId},DELETE,"


Deletes a share permission from a filter. Permissions required: Permission to log in to Jira (i.e., member of the users group) and the calling user must own the filter.

",filterIdPermissionPermissionIdDelete,id permissionId
/filter/{id}/permission/{permissionId},GET,"


Returns a share permission for a filter. A filter can be shared with groups, projects, all logged-in users, or the public. Sharing with all logged-in users or the public is known as a global share permission. Permissions required: None, however the calling user must have permission to view the filter.

",filterIdPermissionPermissionIdGet,id permissionId
/filter/{id}/permission,POST,"


Add a share permissions to a filter. If you add a global share permission (i.e., all logged-in users or the public) it will overwrite all share permissions for the filter.Be aware that this method uses different objects for updating share permissions compared to Update filter. Permissions required: Share dashboards and filters global permission and the calling user must own the filter.

",filterIdPermissionPost,id opts
/filter/{id},PUT,"


Updates an existing filter. Use this method to update a filter&#39;s name, description, JQL, or sharing. Permissions required: Permission to log in to Jira, however the following rules govern what a user can update:

",filterIdPut,id opts
/filter/my,GET,"


Returns the filters owned by the calling user. If includeFavourites is true, the user&#39;s favorite filters are also returned. Permissions required: Permission to log in to Jira (i.e., member of the users group).

",filterMyGet,opts
/filter,POST,"


Creates a new filter. The new filter is not shared and not selected as a favorite. Permissions required: Permission to log in to Jira.

",filterPost,opts
/filter/search,GET,"


Search for filters. This method is similar to Get filters except that you can refine the results to include filters that have specific attributes. For example, filters with a particular name. Permissions required: None, however only the following filters are returned (if no search parameters are set):

",filterSearchGet,opts
/group,DELETE,"


Deletes a group.

",groupDelete,opts
/group,GET,"


This resource is deprecated, use group/member.

",groupGet,opts
/group/member,GET,"


Returns all users in a group. Users are ordered by username.

",groupMemberGet,opts
/group,POST,"


Creates a group.

",groupPost,opts
/group/user,DELETE,"


Removes a user from a group. Permissions required: Administer Jira global permission.

",groupUserDelete,opts
/group/user,POST,"


Adds a user to a group.

",groupUserPost,opts
/groups/picker,GET,"


Returns a list of groups whose names contain a query string. A list of group names can be provided to exclude groups from the results.

",groupsPickerGet,opts
/groupuserpicker,GET,"


Returns a list of users and groups matching a string. The string is used:

",groupuserpickerGet,opts
/issue/bulk,POST,"


Creates issues and, where the option to create sub-tasks is enabled in Jira, sub-tasks. Transitions may be applied, to move the issues or sub-tasks to a workflow step other than the default start step, and issue properties set.

",issueBulkPost,opts
/issue/createmeta,GET,"


Returns details of projects, issue types within projects, and, when requested, the create screen fields for each issue type for the user. Use the information to populate the requests in Create issue and Create issues.

",issueCreatemetaGet,opts
/issue/{issueIdOrKey}/assignee,PUT,"


Assigns an issue to a user. Use this operation when the calling user does not have the Edit Issues permission but has the Assign issue permission for the project that the issue is in.

",issueIssueIdOrKeyAssigneePut,issueIdOrKey opts
/issue/{issueIdOrKey}/attachments,POST,"


Adds one or more attachments to an issue. Attachments are posted as multipart/form-data (RFC 1867).

",issueIssueIdOrKeyAttachmentsPost,issueIdOrKey
/issue/{issueIdOrKey}/changelog,GET,"


Returns a paginated list of all updates of an issue, sorted by date, starting from the oldest.

",issueIssueIdOrKeyChangelogGet,issueIdOrKey opts
/issue/{issueIdOrKey}/comment,GET,"


to get comments for

",issueIssueIdOrKeyCommentGet,issueIdOrKey opts
/issue/{issueIdOrKey}/comment/{id},DELETE,"


a string containing the issue id or key the comment belongs to

",issueIssueIdOrKeyCommentIdDelete,id issueIdOrKey
/issue/{issueIdOrKey}/comment/{id},GET,"


of the issue the comment belongs to

",issueIssueIdOrKeyCommentIdGet,id issueIdOrKey opts
/issue/{issueIdOrKey}/comment/{id},PUT,"


a string containing the issue id or key the comment belongs to

",issueIssueIdOrKeyCommentIdPut,id issueIdOrKey opts
/issue/{issueIdOrKey}/comment,POST,"


a string containing the issue id or key the comment will be added to

",issueIssueIdOrKeyCommentPost,issueIdOrKey opts
/issue/{issueIdOrKey},DELETE,"


Deletes an issue.

",issueIssueIdOrKeyDelete,issueIdOrKey opts
/issue/{issueIdOrKey}/editmeta,GET,"


Returns the edit screen fields for an issue that are visible to and editable by the user. Use the information to populate the requests in Edit issue.

",issueIssueIdOrKeyEditmetaGet,issueIdOrKey opts
/issue/{issueIdOrKey},GET,"


Returns the details for an issue.

",issueIssueIdOrKeyGet,issueIdOrKey opts
/issue/{issueIdOrKey}/notify,POST,"


Creates an email notification for an issue and adds it to the mail queue.

",issueIssueIdOrKeyNotifyPost,issueIdOrKey opts
/issue/{issueIdOrKey}/properties,GET,"


Returns the URIs and keys of an issue&#39;s properties.

",issueIssueIdOrKeyPropertiesGet,issueIdOrKey
/issue/{issueIdOrKey}/properties/{propertyKey},DELETE,"


Deletes an issue&#39;s property.

",issueIssueIdOrKeyPropertiesPropertyKeyDelete,issueIdOrKey propertyKey
/issue/{issueIdOrKey}/properties/{propertyKey},GET,"


Returns the key and value of an issue&#39;s property.

",issueIssueIdOrKeyPropertiesPropertyKeyGet,issueIdOrKey propertyKey
/issue/{issueIdOrKey}/properties/{propertyKey},PUT,"


Sets the value of an issue&#39;s property. Use this resource to store custom data against an issue.

",issueIssueIdOrKeyPropertiesPropertyKeyPut,issueIdOrKey propertyKey
/issue/{issueIdOrKey},PUT,"


Edits an issue. A transition may be applied and issue properties updated as part of the edit.

",issueIssueIdOrKeyPut,issueIdOrKey opts
/issue/{issueIdOrKey}/remotelink,DELETE,"


Deletes the remote issue link from the issue using the link&#39;s global ID.

",issueIssueIdOrKeyRemotelinkDelete,issueIdOrKey opts
/issue/{issueIdOrKey}/remotelink,GET,"


Returns the remote issue links for an issue. When a remote issue link global ID is provided the record with that global ID is returned, otherwise all remote issue links are returned.

",issueIssueIdOrKeyRemotelinkGet,issueIdOrKey opts
/issue/{issueIdOrKey}/remotelink/{linkId},DELETE,"


Deletes a remote issue link from an issue.

",issueIssueIdOrKeyRemotelinkLinkIdDelete,issueIdOrKey linkId
/issue/{issueIdOrKey}/remotelink/{linkId},GET,"


Returns a remote issue link for an issue.

",issueIssueIdOrKeyRemotelinkLinkIdGet,issueIdOrKey linkId
/issue/{issueIdOrKey}/remotelink/{linkId},PUT,"


Updates a remote issue link for an issue.

",issueIssueIdOrKeyRemotelinkLinkIdPut,issueIdOrKey linkId opts
/issue/{issueIdOrKey}/remotelink,POST,"


Creates or updates a remote issue link for an issue.

",issueIssueIdOrKeyRemotelinkPost,issueIdOrKey opts
/issue/{issueIdOrKey}/transitions,GET,"


Returns either all transitions or a transition that can be performed by the user on an issue, based on the issue&#39;s status.

",issueIssueIdOrKeyTransitionsGet,issueIdOrKey opts
/issue/{issueIdOrKey}/transitions,POST,"


Performs an issue transition and, if the transition has a screen, updates the fields from the transition screen. Optionally, issue properties can be set.

",issueIssueIdOrKeyTransitionsPost,issueIdOrKey opts
/issue/{issueIdOrKey}/votes,DELETE,"


Deletes a user&#39;s vote from an issue. This is the equivalent of the user clicking Unvote on an issue in Jira.

",issueIssueIdOrKeyVotesDelete,issueIdOrKey
/issue/{issueIdOrKey}/votes,GET,"


Returns details about the votes on an issue.

",issueIssueIdOrKeyVotesGet,issueIdOrKey
/issue/{issueIdOrKey}/votes,POST,"


Adds the user&#39;s vote to an issue. This is the equivalent of the user clicking Vote on an issue in Jira.

",issueIssueIdOrKeyVotesPost,issueIdOrKey
/issue/{issueIdOrKey}/watchers,DELETE,"


Deletes a user as a watcher of an issue.

",issueIssueIdOrKeyWatchersDelete,issueIdOrKey opts
/issue/{issueIdOrKey}/watchers,GET,"


Returns the watchers for an issue.

",issueIssueIdOrKeyWatchersGet,issueIdOrKey
/issue/{issueIdOrKey}/watchers,POST,"


Adds a user as a watcher of an issue. If no user is specified the calling user is added.

",issueIssueIdOrKeyWatchersPost,issueIdOrKey
/issue/{issueIdOrKey}/worklog,GET,"


Returns all worklogs for an issue.

",issueIssueIdOrKeyWorklogGet,issueIdOrKey opts
/issue/{issueIdOrKey}/worklog/{id},DELETE,"


Deletes a worklog from an issue.

",issueIssueIdOrKeyWorklogIdDelete,id issueIdOrKey opts
/issue/{issueIdOrKey}/worklog/{id},GET,"


Returns a worklog.

",issueIssueIdOrKeyWorklogIdGet,id issueIdOrKey opts
/issue/{issueIdOrKey}/worklog/{id},PUT,"


Updates a worklog.

",issueIssueIdOrKeyWorklogIdPut,id issueIdOrKey opts
/issue/{issueIdOrKey}/worklog,POST,"


Adds a worklog to an issue.

",issueIssueIdOrKeyWorklogPost,issueIdOrKey opts
/issue/{issueIdOrKey}/worklog/{worklogId}/properties,GET,"


Returns the keys of all properties for a worklog.

",issueIssueIdOrKeyWorklogWorklogIdPropertiesGet,issueIdOrKey worklogId
/issue/{issueIdOrKey}/worklog/{worklogId}/properties/{propertyKey},DELETE,"


Deletes a worklog property.

",issueIssueIdOrKeyWorklogWorklogIdPropertiesPropertyKeyDelete,issueIdOrKey propertyKey worklogId
/issue/{issueIdOrKey}/worklog/{worklogId}/properties/{propertyKey},GET,"


Returns the value of a worklog property.

",issueIssueIdOrKeyWorklogWorklogIdPropertiesPropertyKeyGet,issueIdOrKey propertyKey worklogId
/issue/{issueIdOrKey}/worklog/{worklogId}/properties/{propertyKey},PUT,"


Sets the value of a worklog property. Use this operation to store custom data against the worklog.

",issueIssueIdOrKeyWorklogWorklogIdPropertiesPropertyKeyPut,issueIdOrKey propertyKey worklogId
/issueLink/{linkId},DELETE,"


Deletes an issue link.

",issueLinkLinkIdDelete,linkId
/issueLink/{linkId},GET,"


Returns an issue link.

",issueLinkLinkIdGet,linkId
/issueLink,POST,"


Creates a link between two issues. Use this operation to indicate a relationship between two issues and optionally add a comment to the from (outward) issue. To use this resource the site must have Issue Linking enabled.

",issueLinkPost,opts
/issueLinkType,GET,"


Returns a list of all issue link types.

",issueLinkTypeGet,
/issueLinkType/{issueLinkTypeId},DELETE,"


Deletes an issue link type.

",issueLinkTypeIssueLinkTypeIdDelete,issueLinkTypeId
/issueLinkType/{issueLinkTypeId},GET,"


Returns an issue link type.

",issueLinkTypeIssueLinkTypeIdGet,issueLinkTypeId
/issueLinkType/{issueLinkTypeId},PUT,"


Updates an issue link type.

",issueLinkTypeIssueLinkTypeIdPut,issueLinkTypeId opts
/issueLinkType,POST,"


Creates an issue link type. Use this operation to create descriptions of the reasons why issues are linked. The issue link type consists of a name and descriptions for a link&#39;s inward and outward relationships.

",issueLinkTypePost,opts
/issue/picker,GET,"


Returns a list of suggested issues matching the auto-completion query for the user executing this request. This operation checks the user&#39;s history and browsing context to return issue suggestions.

",issuePickerGet,opts
/issue,POST,"


Creates an issue or, where the option to create sub-tasks is enabled in Jira, a sub-task. A transition may be applied, to move the issue or sub-task to a workflow step other than the default start step, and issue properties set.

",issuePost,opts
/issue/properties/{propertyKey},DELETE,"


Deletes a property value from multiple issues. The issues to be updated can be specified by filter criteria.

",issuePropertiesPropertyKeyDelete,propertyKey opts
/issue/properties/{propertyKey},PUT,"


Sets a property value on multiple issues. The issues to be updated can be specified by a filter.

",issuePropertiesPropertyKeyPut,propertyKey opts
/issuesecurityschemes,GET,"


Returns all issue security schemes.

",issuesecurityschemesGet,
/issuesecurityschemes/{id},GET,"


Returns an issue security scheme along with its security levels.

",issuesecurityschemesIdGet,id
/issuetype,GET,"


Returns all issue types. Permissions required: Permission to access Jira, however, only issue types that are visible to the user are returned.

",issuetypeGet,
/issuetype/{id}/alternatives,GET,"


Returns a list of issue types that can be used to replace the issue type. The alternative issue types are those assigned to the same workflow scheme, field configuration scheme, and screen scheme. Permissions required: Permission to access Jira.

",issuetypeIdAlternativesGet,id
/issuetype/{id}/avatar2,POST,"


Loads an avatar for the issue type.

",issuetypeIdAvatar2Post,id opts
/issuetype/{id},DELETE,"


Deletes the issue type. If the issue type is in use, all uses are updated with the alternative issue type (alternativeIssueTypeId). A list of alternative issue types can be obtained from the Get alternative issue types resource. Permissions required: Administer Jira global permission.

",issuetypeIdDelete,id opts
/issuetype/{id},GET,"


Returns an issue type. Permissions required:

",issuetypeIdGet,id
/issuetype/{id},PUT,"


Updates the issue type. Permissions required: Administer Jira global permission.

",issuetypeIdPut,id opts
/issuetype/{issueTypeId}/properties,GET,"


Returns all the issue type property keys of the issue type. Permissions required:

",issuetypeIssueTypeIdPropertiesGet,issueTypeId
/issuetype/{issueTypeId}/properties/{propertyKey},DELETE,"


Deletes the issue type property. Permissions required: Administer Jira global permission.

",issuetypeIssueTypeIdPropertiesPropertyKeyDelete,issueTypeId propertyKey
/issuetype/{issueTypeId}/properties/{propertyKey},GET,"


Returns the key and value of the issue type property. Permissions required:

",issuetypeIssueTypeIdPropertiesPropertyKeyGet,issueTypeId propertyKey
/issuetype/{issueTypeId}/properties/{propertyKey},PUT,"


Creates or updates the value of the issue type property. Use this resource to store and update data against an issue type. The value of the request body must be a valid, non-empty JSON blob. The maximum length of the property value is 32768 bytes. Permissions required: Administer Jira global permission.

",issuetypeIssueTypeIdPropertiesPropertyKeyPut,issueTypeId propertyKey
/issuetype,POST,"


Creates an issue type and adds it to the default issue type scheme. Permissions required: Administer Jira global permission.

",issuetypePost,opts
/jql/autocompletedata,GET,"


Returns reference data for JQL searches. This is a downloadable version of the documentation provided in Advanced searching - fields reference and Advanced searching - functions reference, along with a list of JQL-reserved words. Use this information to assist with the programmatic creation of JQL queries or the validation of queries built in a custom query builder.

",jqlAutocompletedataGet,
/jql/autocompletedata/suggestions,GET,"


Returns the JQL search auto complete suggestions for a field.

",jqlAutocompletedataSuggestionsGet,opts
/jql/pdcleaner,POST,"


The query strings having personal data that need to be migrated. There should be at most 100 queries.

",jqlPdcleanerPost,opts
/mypermissions,GET,"


Returns a list of permissions indicating which permissions the user has. Details of the user&#39;s permissions can be obtained in a global, project, or issue context.

",mypermissionsGet,opts
/mypreferences,DELETE,"


Deletes a preference of the user, which restores the default value of system defined settings.

",mypreferencesDelete,opts
/mypreferences,GET,"


Returns the value of a preference of the user.

",mypreferencesGet,opts
/mypreferences/locale,DELETE,"


Deletes the locale of the current user, which restores the default setting.

",mypreferencesLocaleDelete,
/mypreferences/locale,GET,"


Returns the locale for the current user.

",mypreferencesLocaleGet,
/mypreferences/locale,PUT,"


Sets the locale of the current user. The requested locale must be one supported by the instance of Jira.

",mypreferencesLocalePut,opts
/mypreferences,PUT,"


Creates a preference for the user or updates its value. An arbitrary preference can be created with the value containing up to 255 characters. In addition, the following keys define system preferences that can be set or created:

",mypreferencesPut,opts
/myself,GET,"


Returns details for the authenticated user.

",myselfGet,opts
/notificationscheme,GET,"


Returns a paginated list of notification schemes in order by display name.

",notificationschemeGet,opts
/notificationscheme/{id},GET,"


Returns a notification scheme, including the list of events and the recipients who will receive notifications for those events.

",notificationschemeIdGet,id opts
/permissions,GET,"


Returns all permissions, including:

",permissionsGet,
/permissions/project,POST,"


Returns all the projects where the user is granted a list of project permissions.

",permissionsProjectPost,opts
/permissionscheme,GET,"


Returns all permission schemes.

",permissionschemeGet,opts
/permissionscheme,POST,"


Creates a new permission scheme. You can create a permission scheme with or without defining a set of permission grants. Permissions required: Administer Jira global permission.

",permissionschemePost,opts
/permissionscheme/{schemeId},DELETE,"


Deletes a permission scheme. Permissions required: Administer Jira global permission.

",permissionschemeSchemeIdDelete,schemeId
/permissionscheme/{schemeId},GET,"


Returns a permission scheme. Permissions required: Permission to log in to Jira.

",permissionschemeSchemeIdGet,schemeId opts
/permissionscheme/{schemeId}/permission,GET,"


Returns all permission grants for a permission scheme. Permissions required: Permission to log in to Jira.

",permissionschemeSchemeIdPermissionGet,schemeId opts
/permissionscheme/{schemeId}/permission/{permissionId},DELETE,"


Deletes a permission grant from a permission scheme. See About permission schemes and grants for more details. Permissions required: Administer Jira global permission.

",permissionschemeSchemeIdPermissionPermissionIdDelete,permissionId schemeId
/permissionscheme/{schemeId}/permission/{permissionId},GET,"


Returns a permission grant. Permissions required: Permission to log in to Jira.

",permissionschemeSchemeIdPermissionPermissionIdGet,permissionId schemeId opts
/permissionscheme/{schemeId}/permission,POST,"


Creates a new permission grant in the given permission scheme. Permissions required: Administer Jira global permission.

",permissionschemeSchemeIdPermissionPost,schemeId opts
/permissionscheme/{schemeId},PUT,"


Updates a permission scheme. Below are some important things to note when using this resource:

",permissionschemeSchemeIdPut,schemeId opts
/priority,GET,"


Returns the list of all issue priorities.

",priorityGet,
/priority/{id},GET,"


Returns an issue priority.

",priorityIdGet,id
/projectCategory,GET,"


Returns all project categories.

",projectCategoryGet,
/projectCategory/{id},DELETE,"


Deletes a project category.

",projectCategoryIdDelete,id
/projectCategory/{id},GET,"


Returns a project category.

",projectCategoryIdGet,id
/projectCategory/{id},PUT,"


Updates a project category.

",projectCategoryIdPut,id opts
/projectCategory,POST,"


Creates a project category.

",projectCategoryPost,opts
/project,GET,"


Returns all projects visible to the currently logged in user. Deprecated, use Get projects paginated that supports search and pagination. For projects to be visible, the authenticated user must be granted either Browse projects or Administer projects permissions. If no user is logged in, it returns all projects that are visible for anonymous users.

",projectGet,opts
/project,POST,"


Creates a new project.

",projectPost,opts
/project/{projectIdOrKey}/avatar2,POST,"


Loads an avatar for a project.

",projectProjectIdOrKeyAvatar2Post,projectIdOrKey opts
/project/{projectIdOrKey}/avatar/{id},DELETE,"


Deletes a custom avatar from a project. Note that system avatars cannot be deleted.

",projectProjectIdOrKeyAvatarIdDelete,id projectIdOrKey
/project/{projectIdOrKey}/avatar,PUT,"


Sets the avatar displayed for a project.

",projectProjectIdOrKeyAvatarPut,projectIdOrKey opts
/project/{projectIdOrKey}/avatars,GET,"


Returns all project avatars, grouped by system and custom avatars.

",projectProjectIdOrKeyAvatarsGet,projectIdOrKey
/project/{projectIdOrKey}/component,GET,"


Returns a paginated representation of all components existing in a single project. See the Get project components resource if you want to get a full list of versions without pagination.

",projectProjectIdOrKeyComponentGet,projectIdOrKey opts
/project/{projectIdOrKey}/components,GET,"


Returns all components existing in a single project. See the Get project components paginated resource if you want to get a full list of components with pagination.

",projectProjectIdOrKeyComponentsGet,projectIdOrKey
/project/{projectIdOrKey},DELETE,"


Deletes an existing project.

",projectProjectIdOrKeyDelete,projectIdOrKey
/project/{projectIdOrKey},GET,"


Returns the project details for the specified project.

",projectProjectIdOrKeyGet,projectIdOrKey opts
/project/{projectIdOrKey}/properties,GET,"


Returns all project property keys for the project.

",projectProjectIdOrKeyPropertiesGet,projectIdOrKey
/project/{projectIdOrKey}/properties/{propertyKey},DELETE,"


Removes the property from the project.

",projectProjectIdOrKeyPropertiesPropertyKeyDelete,projectIdOrKey propertyKey
/project/{projectIdOrKey}/properties/{propertyKey},GET,"


Returns the value of the project property.

",projectProjectIdOrKeyPropertiesPropertyKeyGet,projectIdOrKey propertyKey
/project/{projectIdOrKey}/properties/{propertyKey},PUT,"


Sets the value of the project property. You can use project properties to store custom data against the project.

",projectProjectIdOrKeyPropertiesPropertyKeyPut,projectIdOrKey propertyKey
/project/{projectIdOrKey},PUT,"


Updates the project details of an existing project.

",projectProjectIdOrKeyPut,projectIdOrKey opts
/project/{projectIdOrKey}/role,GET,"


Returns a list of project roles for the project.

",projectProjectIdOrKeyRoleGet,projectIdOrKey
/project/{projectIdOrKey}/role/{id},DELETE,"


Deletes actors from a project role for the project.

",projectProjectIdOrKeyRoleIdDelete,id projectIdOrKey opts
